AGI	Gene Name	Short Description	T1_Ax_Pst vs Ax_CTL_log2FC	T1_Ax_Pst vs Ax_CTL_FDR	T2_Ax_Pst vs Ax_CTL_log2FC	T2_Ax_Pst vs Ax_CTL_FDR	color
AT3G46090	ZAT7	C2H2 and C2HC zinc fingers superfamily protein	2.01	4.9E-01	2.25	3.5E-02	orange
AT1G67920			1.05	8.6E-02	2.25	3.8E-07	orange
AT3G29034			-0.06	9.9E-01	2.23	7.9E-03	orange
AT1G57630		Toll-Interleukin-Resistance (TIR) domain family protein	0.92	8.7E-01	2.23	1.6E-02	orange
AT4G02320		Plant invertase/pectin methylesterase inhibitor superfamily	0.99	4.1E-01	2.22	9.7E-04	orange
AT1G62420		Protein of unknown function (DUF506) 	0.25	9.6E-01	2.22	9.7E-05	orange
AT2G38470	WRKY33	WRKY DNA-binding protein 33	0.53	7.7E-01	2.20	9.6E-10	orange
AT2G37130		Peroxidase superfamily protein	0.99	4.2E-01	2.20	1.2E-03	orange
AT5G52750		Heavy metal transport/detoxification superfamily protein 	0.48	8.4E-01	2.20	1.1E-06	orange
AT3G46080		C2H2-type zinc finger family protein	2.11	3.0E-01	2.17	3.5E-02	orange
AT3G60970	ABCC15	multidrug resistance-associated protein 15	0.67	4.7E-01	2.16	1.7E-09	orange
AT1G32690			0.71	3.0E-01	2.15	1.5E-06	orange
AT5G41740		Disease resistance protein (TIR-NBS-LRR class) family	0.31	7.7E-01	2.15	8.5E-12	orange
AT5G13700	PAO1	polyamine oxidase 1	0.36	7.9E-01	2.14	2.9E-06	orange
AT3G14700		SART-1 family	0.63	5.1E-01	2.13	3.0E-07	orange
AT3G48080		alpha/beta-Hydrolases superfamily protein	0.46	9.1E-01	2.13	2.0E-03	orange
AT3G10815		RING/U-box superfamily protein	0.38	9.5E-01	2.12	4.7E-02	orange
AT1G24090		RNase H family protein	0.43	7.0E-01	2.12	4.8E-10	orange
AT4G27410	RD26	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	1.00	7.5E-02	2.12	2.1E-11	orange
AT4G32480		Protein of unknown function (DUF506) 	0.84	3.5E-01	2.12	6.3E-10	orange
AT1G73805	SARD1	Calmodulin binding protein-like	0.62	8.2E-01	2.12	3.6E-04	orange
AT5G38900		Thioredoxin superfamily protein	0.96	7.1E-01	2.12	4.0E-03	orange
AT1G25422			0.76	1.1E-01	2.11	1.3E-08	orange
AT2G30540		Thioredoxin superfamily protein	0.66	8.6E-02	2.11	3.2E-15	orange
AT1G05675		UDP-Glycosyltransferase superfamily protein	-0.39	9.5E-01	2.11	9.6E-03	orange
AT5G09440	EXL4	EXORDIUM like 4	0.21	8.7E-01	2.11	3.1E-05	orange
AT2G26440		Plant invertase/pectin methylesterase inhibitor superfamily	0.86	1.7E-01	2.10	4.9E-05	orange
AT5G45000		Disease resistance protein (TIR-NBS-LRR class) family	-0.88	8.8E-01	2.10	6.1E-03	orange
AT5G25250	FLOT1	SPFH/Band 7/PHB domain-containing membrane-associated protein family	1.74	2.3E-01	2.10	5.2E-03	orange
AT1G21550		Calcium-binding EF-hand family protein	0.83	2.1E-01	2.09	2.1E-05	orange
AT2G32210			0.28	9.0E-01	2.09	1.0E-05	orange
AT5G51060	RHD2	NADPH/respiratory burst oxidase protein D	0.61	6.5E-01	2.09	1.4E-02	orange
AT5G52390		PAR1 protein	0.88	6.7E-01	2.08	1.2E-03	orange
AT1G09421		other RNA	0.89	4.7E-01	2.08	6.9E-05	orange
AT1G72280	ERO1	endoplasmic reticulum oxidoreductins 1	0.54	2.8E-01	2.07	4.1E-08	orange
AT4G11000		Ankyrin repeat family protein	-0.26	9.4E-01	2.07	8.4E-03	orange
AT4G25490	CBF1	C-repeat/DRE binding factor 1	-0.23	9.8E-01	2.07	3.4E-03	orange
AT2G23170	GH3.3	Auxin-responsive GH3 family protein	1.85	2.9E-01	2.06	4.6E-02	orange
AT5G52050		MATE efflux family protein	0.17	9.5E-01	2.05	2.8E-04	orange
AT2G44450	BGLU15	beta glucosidase 15	0.26	9.4E-01	2.05	1.4E-04	orange
AT4G14365	XBAT34	XB3 ortholog 4 in Arabidopsis thaliana	0.79	5.6E-01	2.05	6.8E-04	orange
AT3G63010	GID1B	alpha/beta-Hydrolases superfamily protein	0.57	7.7E-02	2.05	2.4E-11	orange
AT1G68620		alpha/beta-Hydrolases superfamily protein	0.41	8.8E-01	2.04	1.3E-03	orange
AT4G28085			1.01	4.2E-01	2.04	3.8E-04	orange
AT1G33790		jacalin lectin family protein	0.51	7.2E-01	2.03	5.3E-06	orange
AT3G50470	HR3	homolog of RPW8 3	0.38	8.9E-01	2.02	1.3E-03	orange
AT5G26920	CBP60G	Cam-binding protein 60-like G	0.76	6.8E-01	2.01	1.4E-03	orange
AT1G36622			0.28	9.6E-01	2.01	1.6E-02	orange
AT3G62930		Thioredoxin superfamily protein	-0.10	9.6E-01	2.01	2.4E-09	orange
AT1G73810		"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	1.29	4.6E-01	2.01	9.7E-03	orange
AT3G18250		Putative membrane lipoprotein	0.72	8.6E-01	2.01	4.7E-03	orange
AT4G37370	CYP81D8	"cytochrome P450, family 81, subfamily D, polypeptide 8"	0.34	8.0E-01	1.99	2.8E-04	orange
AT3G48360	bt2	BTB and TAZ domain protein 2	-0.85	8.5E-01	1.99	8.1E-03	orange
AT1G22400	UGT85A1	UDP-Glycosyltransferase superfamily protein	0.97	2.8E-01	1.98	1.3E-02	orange
AT5G06320	NHL3	NDR1/HIN1-like 3	0.28	8.6E-01	1.98	1.3E-09	orange
AT2G02010	GAD4	glutamate decarboxylase 4	0.60	5.0E-01	1.98	1.5E-05	orange
AT2G18196		Heavy metal transport/detoxification superfamily protein 	0.66	4.4E-01	1.97	1.6E-11	orange
AT1G16130	WAKL2	wall associated kinase-like 2	-0.14	9.6E-01	1.96	6.1E-06	orange
AT4G15700		Thioredoxin superfamily protein	0.07	9.8E-01	1.96	3.6E-16	orange
AT4G21390	B120	S-locus lectin protein kinase family protein	0.25	9.4E-01	1.96	2.2E-03	orange
AT2G35930	PUB23	plant U-box 23	0.41	6.1E-01	1.96	2.6E-04	orange
AT2G05518			0.21	9.6E-01	1.96	7.9E-04	orange
AT3G09020		"alpha 1,4-glycosyltransferase family protein"	-0.33	9.4E-01	1.96	1.4E-02	orange
AT4G11910			0.82	2.8E-01	1.95	9.1E-05	orange
AT4G12735			1.45	9.3E-02	1.94	1.5E-02	orange
AT4G14370		Disease resistance protein (TIR-NBS-LRR class) family	0.29	9.4E-01	1.94	4.7E-03	orange
AT2G40750	WRKY54	WRKY DNA-binding protein 54	0.92	2.6E-01	1.94	4.6E-05	orange
AT1G61340	FBS1	F-box family protein	-0.06	9.8E-01	1.93	1.3E-13	orange
AT4G11890	ARCK1	Protein kinase superfamily protein	1.93	1.6E-01	1.93	7.4E-03	orange
AT2G40000	HSPRO2	ortholog of sugar beet HS1 PRO-1 2	-0.07	9.9E-01	1.92	6.6E-05	orange
AT1G75580		SAUR-like auxin-responsive protein family 	0.07	9.7E-01	1.91	2.3E-07	orange
AT4G15680		Thioredoxin superfamily protein	-0.04	9.9E-01	1.91	7.1E-07	orange
AT3G52400	SYP122	syntaxin of plants 122	0.09	9.8E-01	1.90	4.0E-06	orange
AT3G22910		ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	1.07	2.7E-01	1.90	7.6E-04	orange
AT3G13950			0.60	8.8E-01	1.89	8.9E-03	orange
AT2G34940	VSR5	VACUOLAR SORTING RECEPTOR 5	-0.04	9.9E-01	1.89	2.4E-04	orange
AT4G23610		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family	0.25	9.6E-01	1.89	1.4E-02	orange
AT4G12410		SAUR-like auxin-responsive protein family 	1.00	5.0E-01	1.88	1.1E-02	orange
AT3G25510		"disease resistance protein (TIR-NBS-LRR class), putative"	1.76	6.3E-02	1.87	9.5E-03	orange
AT3G16860	COBL8	COBRA-like protein 8 precursor	0.86	5.1E-02	1.86	1.9E-13	orange
AT4G28140		Integrase-type DNA-binding superfamily protein	-0.11	9.7E-01	1.86	1.4E-04	orange
AT5G22250	CAF1b	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	0.23	8.6E-01	1.85	1.4E-04	orange
AT3G19030			0.36	8.7E-01	1.85	9.0E-13	orange
AT4G18501			0.27	8.8E-01	1.84	5.6E-06	orange
AT5G10695			0.24	8.9E-01	1.84	4.2E-11	orange
AT5G54490	PBP1	pinoid-binding protein 1	0.18	9.5E-01	1.84	2.6E-03	orange
AT2G23680		Cold acclimation protein WCOR413 family	0.54	4.5E-01	1.83	7.0E-06	orange
AT2G14245		transposable element gene	0.60	8.1E-01	1.83	2.5E-03	orange
AT2G38790			0.33	7.7E-01	1.82	4.3E-10	orange
AT1G14870	PCR2	PLANT CADMIUM RESISTANCE 2	0.87	3.9E-01	1.82	1.5E-03	orange
AT1G21520			1.07	3.1E-01	1.81	2.6E-04	orange
AT3G14050	RSH2	RELA/SPOT homolog 2	0.57	1.7E-02	1.81	6.6E-24	orange
AT3G22930	CML11	calmodulin-like 11	0.87	6.5E-01	1.79	4.5E-02	orange
AT4G27652			0.73	1.5E-01	1.79	3.5E-06	orange
AT2G30770	CYP71A13	"cytochrome P450, family 71, subfamily A, polypeptide 13"	0.55	8.9E-01	1.79	1.7E-03	orange
AT1G75290		NAD(P)-binding Rossmann-fold superfamily protein	0.38	4.9E-01	1.78	2.6E-09	orange
AT1G14240		GDA1/CD39 nucleoside phosphatase family protein	0.74	4.1E-01	1.78	2.7E-04	orange
AT1G76600			0.34	6.8E-01	1.78	5.9E-04	orange
AT5G03210	DIP2		0.61	4.9E-01	1.77	1.4E-14	orange
AT1G24145			0.12	9.6E-01	1.77	1.0E-04	orange
AT3G17110			0.75	1.3E-01	1.77	8.1E-06	orange
AT1G02610		RING/FYVE/PHD zinc finger superfamily protein	0.29	8.5E-01	1.76	8.5E-07	orange
AT5G56550	OXS3	oxidative stress 3	0.82	2.1E-01	1.76	1.7E-06	orange
AT2G33580	LYK5	Protein kinase superfamily protein	0.56	6.2E-01	1.75	4.0E-06	orange
AT1G49450		Transducin/WD40 repeat-like superfamily protein	0.75	2.1E-01	1.75	6.8E-12	orange
AT5G28010		Polyketide cyclase/dehydrase and lipid transport superfamily protein	0.45	6.5E-01	1.75	2.0E-05	orange
AT5G46871		Putative membrane lipoprotein	0.25	9.5E-01	1.75	8.1E-08	orange
AT5G49525			0.53	2.6E-01	1.74	3.8E-08	orange
AT1G10585		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.95	3.4E-01	1.74	2.4E-02	orange
AT2G25460			0.56	6.3E-01	1.74	3.9E-04	orange
AT4G17230	SCL13	SCARECROW-like 13	0.65	9.4E-02	1.74	1.3E-15	orange
AT3G23870		Protein of unknown function (DUF803)	0.51	1.1E-01	1.72	1.4E-10	orange
AT2G40140	CZF1	zinc finger (CCCH-type) family protein	0.41	5.8E-01	1.72	1.1E-08	orange
AT1G77380	AAP3	amino acid permease 3	0.56	7.2E-01	1.71	1.1E-03	orange
AT1G65510			0.65	8.8E-01	1.71	3.7E-02	orange
AT3G63060	EDL3	EID1-like 3	0.51	7.8E-01	1.71	2.3E-08	orange
AT1G78680	GGH2	gamma-glutamyl hydrolase 2	0.55	2.6E-07	1.70	1.6E-22	orange
AT4G36670	PMT6	Major facilitator superfamily protein	0.36	6.3E-01	1.70	6.9E-06	orange
AT1G32928			0.54	7.3E-01	1.70	5.1E-04	orange
AT1G70920	HB18	homeobox-leucine zipper protein 18	0.28	9.2E-01	1.69	3.5E-07	orange
AT1G05550		Protein of unknown function (DUF295)	0.91	2.3E-01	1.69	1.7E-05	orange
AT3G18610	NUC-L2	nucleolin like 2	0.50	6.3E-01	1.69	2.8E-05	orange
AT3G60540		"Preprotein translocase Sec, Sec61-beta subunit protein"	0.82	3.4E-01	1.69	8.9E-03	orange
AT2G18690			0.45	8.6E-01	1.69	1.0E-02	orange
AT5G39610	NAC6	NAC domain containing protein  6	0.42	9.3E-01	1.69	3.0E-02	orange
AT5G53450	ORG1	OBP3-responsive gene 1	0.16	8.3E-01	1.69	1.5E-09	orange
AT3G59050	PAO3	polyamine oxidase 3	0.40	6.3E-01	1.68	1.2E-14	orange
AT1G58420		Uncharacterised conserved protein UCP031279	-0.17	9.6E-01	1.68	1.1E-02	orange
AT4G22100	BGLU3	beta glucosidase 2	0.60	6.3E-02	1.68	1.0E-13	orange
AT2G32830	PHT1;5	phosphate transporter 1;5	1.06	1.5E-01	1.67	1.0E-04	orange
AT3G22415			0.47	6.0E-01	1.67	2.5E-04	orange
AT5G43420		RING/U-box superfamily protein	0.31	8.7E-01	1.67	1.2E-04	orange
AT4G01540	NTM1	NAC with transmembrane motif1	0.36	6.2E-01	1.66	5.1E-07	orange
AT3G01080	WRKY58	WRKY DNA-binding protein 58	-0.06	9.9E-01	1.66	3.4E-03	orange
AT3G61280		Arabidopsis thaliana protein of unknown function (DUF821)	0.33	6.0E-01	1.65	2.0E-07	orange
AT2G23810	TET8	tetraspanin8	0.35	8.3E-01	1.65	7.5E-09	orange
AT3G59700	HLECRK	lectin-receptor kinase	0.78	2.0E-01	1.65	6.5E-05	orange
AT5G20400		2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	-0.31	8.8E-01	1.64	7.3E-05	orange
AT3G53370		S1FA-like DNA-binding protein	0.58	1.0E-04	1.64	2.3E-24	orange
AT5G49520	WRKY48	WRKY DNA-binding protein 48	0.24	9.3E-01	1.64	4.3E-03	orange
AT3G19660			0.35	6.5E-01	1.64	5.8E-07	orange
AT1G02450	NIMIN1	NIM1-interacting 1	0.48	9.1E-01	1.64	1.3E-02	orange
AT3G47640	PYE	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.13	9.3E-01	1.63	8.5E-08	orange
AT5G60310		Concanavalin A-like lectin protein kinase family protein	1.06	4.4E-01	1.63	2.1E-03	orange
AT1G23020	FRO3	ferric reduction oxidase 3	-0.06	9.6E-01	1.63	8.4E-11	orange
AT1G48500	JAZ4	jasmonate-zim-domain protein 4	1.21	1.5E-01	1.62	2.5E-04	orange
AT3G24982	RLP40	receptor like protein 40	0.81	1.1E-01	1.62	6.7E-04	orange
AT4G40020		Myosin heavy chain-related protein	0.97	5.8E-01	1.62	1.3E-02	orange
AT1G34420		leucine-rich repeat transmembrane protein kinase family protein	1.00	1.6E-01	1.62	1.3E-03	orange
AT5G62150		peptidoglycan-binding LysM domain-containing protein	0.86	5.0E-01	1.62	9.4E-03	orange
AT1G18300	NUDT4	nudix hydrolase homolog 4	-0.11	9.5E-01	1.61	6.0E-05	orange
AT2G04100		MATE efflux family protein	0.59	2.7E-01	1.61	1.6E-05	orange
AT1G72920		Toll-Interleukin-Resistance (TIR) domain family protein	0.71	2.7E-01	1.60	4.9E-06	orange
AT4G20110	VSR7	VACUOLAR SORTING RECEPTOR 7	0.28	8.2E-01	1.60	1.8E-05	orange
AT1G23840			0.33	8.8E-01	1.59	1.9E-03	orange
AT2G36650			0.00	1.0E+00	1.59	7.0E-06	orange
AT3G09490		Tetratricopeptide repeat (TPR)-like superfamily protein	0.64	4.4E-01	1.59	6.6E-05	orange
AT2G41100	TCH3	Calcium-binding EF hand family protein	0.10	9.7E-01	1.59	2.6E-04	orange
AT1G13340		Regulator of Vps4 activity in the MVB pathway protein	0.41	8.7E-01	1.59	5.4E-03	orange
AT2G30360	SIP4	SOS3-interacting protein 4	0.97	1.1E-01	1.59	7.2E-04	orange
AT1G29160		Dof-type zinc finger DNA-binding family protein	0.36	9.2E-01	1.59	8.5E-03	orange
AT1G14370	APK2A	protein kinase 2A	0.31	7.4E-01	1.58	8.4E-06	orange
AT2G30040	MAPKKK14	mitogen-activated protein kinase kinase kinase 14	0.65	2.9E-01	1.58	2.2E-08	orange
AT5G59550	RDUF2	zinc finger (C3HC4-type RING finger) family protein	0.46	4.0E-01	1.58	3.7E-11	orange
AT3G15280			0.89	6.1E-01	1.58	9.4E-04	orange
AT1G02405		proline-rich family protein	-0.32	9.3E-01	1.57	3.9E-02	orange
AT5G10760		Eukaryotic aspartyl protease family protein	0.58	7.3E-01	1.57	4.9E-03	orange
AT4G38470	STY46	ACT-like protein tyrosine kinase family protein	0.42	3.8E-02	1.56	7.5E-14	orange
AT1G04770		Tetratricopeptide repeat (TPR)-like superfamily protein	0.40	6.8E-01	1.56	3.5E-09	orange
AT1G22340	UGT85A7	UDP-glucosyl transferase 85A7	0.49	3.6E-01	1.56	1.1E-13	orange
AT1G23070		Protein of unknown function (DUF300)	0.90	6.2E-01	1.55	3.5E-04	orange
AT3G16720	ATL2	TOXICOS EN LEVADURA 2	0.57	3.8E-01	1.55	1.2E-05	orange
AT1G13970		Protein of unknown function (DUF1336)	0.64	5.1E-01	1.55	1.6E-05	orange
AT2G46640			0.57	1.1E-03	1.55	1.4E-18	orange
AT1G01560	MPK11	MAP kinase 11	1.62	1.1E-01	1.55	2.1E-02	orange
AT5G53660	GRF7	growth-regulating factor 7	0.28	8.8E-01	1.55	4.5E-05	orange
AT2G24600		Ankyrin repeat family protein	0.14	9.7E-01	1.55	1.3E-03	orange
AT5G01540	LECRKA4.1	lectin receptor kinase a4.1	0.17	9.6E-01	1.54	1.8E-02	orange
AT1G06002			0.40	8.1E-01	1.54	1.7E-04	orange
AT5G54170		Polyketide cyclase/dehydrase and lipid transport superfamily protein	0.57	1.8E-02	1.54	1.1E-05	orange
AT3G14550	GGPS3	geranylgeranyl pyrophosphate synthase 3	0.02	1.0E+00	1.54	2.6E-06	orange
AT5G01100		O-fucosyltransferase family protein	0.15	9.5E-01	1.54	7.4E-05	orange
AT3G47420	G3Pp1	phosphate starvation-induced gene 3	0.45	5.8E-02	1.54	2.2E-12	orange
AT3G20960	CYP705A33	"cytochrome P450, family 705, subfamily A, polypeptide 33"	0.31	8.8E-01	1.53	1.9E-04	orange
AT1G65620	AS2	Lateral organ boundaries (LOB) domain family protein	0.51	3.6E-01	1.53	3.1E-05	orange
AT1G45616	RLP6	receptor like protein 6	0.56	8.0E-03	1.53	7.6E-13	orange
AT4G01250	WRKY22	WRKY family transcription factor	0.17	9.4E-01	1.52	2.0E-06	orange
AT2G04070		MATE efflux family protein	0.18	9.6E-01	1.52	1.5E-02	orange
AT2G41312		other RNA	0.44	8.9E-02	1.51	1.7E-09	orange
AT2G34220	MEE20	Protein with domains of unknown function (DUF627 and DUF629)	-0.15	9.6E-01	1.51	2.0E-04	orange
AT4G23140	CRK6	cysteine-rich RLK (RECEPTOR-like protein kinase) 6	1.35	2.7E-01	1.51	1.1E-02	orange
AT5G20900	JAZ12	jasmonate-zim-domain protein 12	0.58	3.4E-04	1.51	6.6E-23	orange
AT2G25000	WRKY60	WRKY DNA-binding protein 60	0.76	4.4E-01	1.50	3.2E-03	orange
AT2G30362		other RNA	0.16	9.5E-01	1.50	4.6E-03	orange
AT2G31880	SOBIR1	Leucine-rich repeat protein kinase family protein	0.33	8.1E-01	1.50	1.2E-04	orange
AT2G11810	MGDC	monogalactosyldiacylglycerol synthase type C	0.78	4.8E-01	1.49	6.0E-05	orange
AT4G36990	HSF4	heat shock factor 4	0.55	2.9E-01	1.49	1.1E-04	orange
AT5G23020	"IMS2, MAM3"	2-isopropylmalate synthase 2	0.42	7.8E-01	1.49	5.0E-05	orange
AT2G47190	MYB2	myb domain protein 2	0.25	9.2E-01	1.49	8.4E-04	orange
AT1G73500	MKK9	MAP kinase kinase 9	0.55	2.8E-01	1.48	2.6E-07	orange
AT5G55450		Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	0.21	9.5E-01	1.48	1.0E-02	orange
AT3G56400	WRKY70	WRKY DNA-binding protein 70	0.74	1.8E-01	1.48	9.4E-06	orange
AT3G50450	HR1	homolog of RPW8 1	0.79	5.5E-01	1.47	8.0E-06	orange
AT1G74450		Protein of unknown function (DUF793)	0.31	7.5E-01	1.46	1.1E-08	orange
AT1G20350	TIM17-1	translocase inner membrane subunit 17-1	0.81	1.2E-01	1.46	1.8E-03	orange
AT2G47780		Rubber elongation factor protein (REF)	0.20	8.9E-01	1.46	2.1E-06	orange
AT4G30250		P-loop containing nucleoside triphosphate hydrolases superfamily protein	0.60	3.1E-01	1.46	8.4E-06	orange
AT4G21990	APR3	APS reductase 3	0.52	2.6E-01	1.45	9.0E-13	orange
AT1G15670		Galactose oxidase/kelch repeat superfamily protein	-0.18	9.6E-01	1.45	5.0E-02	orange
AT1G33260		Protein kinase superfamily protein	0.42	4.6E-02	1.45	2.3E-14	orange
AT2G32990	GH9B8	glycosyl hydrolase 9B8	0.48	3.2E-02	1.45	1.1E-08	orange
AT2G45510	CYP704A2	"cytochrome P450, family 704, subfamily A, polypeptide 2"	0.27	6.7E-01	1.44	1.9E-09	orange
AT1G74440		Protein of unknown function (DUF962)	0.82	6.1E-02	1.44	2.3E-05	orange
AT5G43380	TOPP6	type one serine/threonine protein phosphatase 6	0.49	1.3E-01	1.44	2.2E-07	orange
AT2G16660		Major facilitator superfamily protein	0.31	6.6E-01	1.44	2.1E-07	orange
AT2G39650		Protein of unknown function (DUF506) 	0.36	8.2E-01	1.43	7.9E-08	orange
AT3G08720	S6K2	serine/threonine protein kinase 2	0.39	2.9E-01	1.43	2.2E-05	orange
AT1G65390	PP2-A5	phloem protein 2 A5	-0.14	9.7E-01	1.43	3.6E-03	orange
AT2G28400		"Protein of unknown function, DUF584"	0.20	9.4E-01	1.43	3.4E-04	orange
AT1G53542			0.00	1.0E+00	1.42	7.1E-03	orange
AT3G20440	EMB2729	Alpha amylase family protein	-0.11	9.2E-01	1.42	4.4E-13	orange
AT1G71530		Protein kinase superfamily protein	0.16	9.6E-01	1.41	7.6E-04	orange
AT1G09950	RAS1	RESPONSE TO ABA AND SALT 1	-0.39	9.0E-01	1.41	9.8E-03	orange
AT1G73480		alpha/beta-Hydrolases superfamily protein	0.59	5.8E-02	1.41	2.1E-20	orange
AT3G60160	ABCC9	multidrug resistance-associated protein 9	0.51	1.7E-04	1.41	5.4E-15	orange
AT3G60130	BGLU16	beta glucosidase 16	0.53	2.2E-02	1.41	3.1E-06	orange
AT4G16000			0.15	9.2E-01	1.41	1.1E-09	orange
AT4G04760		Major facilitator superfamily protein	0.41	7.6E-01	1.40	1.1E-03	orange
AT4G37295			0.42	8.2E-01	1.40	1.8E-02	orange
AT3G18290	BTS	zinc finger protein-related	0.20	5.5E-01	1.40	2.6E-11	orange
AT3G44720	ADT4	arogenate dehydratase 4	0.35	2.1E-01	1.40	2.4E-09	orange
AT1G56120		Leucine-rich repeat transmembrane protein kinase	0.42	5.8E-01	1.40	4.0E-04	orange
AT3G62950		Thioredoxin superfamily protein	-0.26	9.3E-01	1.40	3.0E-07	orange
AT1G30220	INT2	inositol transporter 2	0.63	2.0E-01	1.39	3.8E-06	orange
AT5G37770	TCH2	EF hand calcium-binding protein family	-0.11	9.6E-01	1.39	1.5E-08	orange
AT5G13740	ZIF1	zinc induced facilitator 1	0.04	9.6E-01	1.39	2.4E-22	orange
AT1G67856		RING/U-box superfamily protein	-0.06	9.8E-01	1.39	2.0E-05	orange
AT4G23680		Polyketide cyclase/dehydrase and lipid transport superfamily protein	0.65	2.7E-01	1.39	1.5E-03	orange
AT4G18170	WRKY28	WRKY DNA-binding protein 28	0.02	9.9E-01	1.39	2.2E-03	orange
AT1G02660		alpha/beta-Hydrolases superfamily protein	-0.28	8.9E-01	1.39	3.1E-08	orange
AT1G69890		Protein of unknown function (DUF569)	0.49	7.1E-01	1.39	4.7E-05	orange
AT4G36988	CPuORF49	conserved peptide upstream open reading frame 49	0.28	8.3E-01	1.38	1.1E-04	orange
AT3G15270	SPL5	squamosa promoter binding protein-like 5	0.29	6.9E-01	1.37	3.2E-06	orange
AT3G05905		other RNA	-0.29	9.2E-01	1.37	5.5E-03	orange
AT1G75490		Integrase-type DNA-binding superfamily protein	-0.33	9.4E-01	1.37	4.3E-03	orange
AT3G15650		alpha/beta-Hydrolases superfamily protein	0.36	7.3E-01	1.37	1.8E-03	orange
AT3G49320		Metal-dependent protein hydrolase	0.13	9.2E-01	1.36	1.5E-07	orange
AT1G42990	BZIP60	basic region/leucine zipper motif 60	0.37	1.9E-01	1.36	8.5E-10	orange
AT2G24550			0.15	9.1E-01	1.36	3.2E-06	orange
AT5G19120		Eukaryotic aspartyl protease family protein	0.09	9.8E-01	1.35	4.0E-03	orange
AT1G25560	TEM1	AP2/B3 transcription factor family protein	0.14	9.5E-01	1.35	4.8E-05	orange
AT1G65500			0.29	9.3E-01	1.35	2.3E-03	orange
AT4G13190		Protein kinase superfamily protein	0.29	8.8E-01	1.35	2.8E-07	orange
AT3G28620		"Zinc finger, C3HC4 type (RING finger) family protein"	0.19	9.4E-01	1.35	8.5E-04	orange
AT4G16370	OPT3	oligopeptide transporter	0.28	2.1E-01	1.35	5.2E-11	orange
AT3G05165		Major facilitator superfamily protein	0.55	4.7E-04	1.34	2.7E-10	orange
AT3G27970		Exonuclease family protein	0.15	9.7E-01	1.34	8.2E-04	orange
AT4G15690		Thioredoxin superfamily protein	-0.08	9.7E-01	1.34	1.2E-10	orange
AT1G72900		Toll-Interleukin-Resistance (TIR) domain-containing protein	0.50	5.1E-01	1.34	8.5E-05	orange
AT4G18010	IP5PII	myo-inositol polyphosphate 5-phosphatase 2	0.31	1.9E-01	1.34	1.4E-09	orange
AT3G21780	UGT71B6	UDP-glucosyl transferase 71B6	0.43	6.9E-01	1.34	5.6E-04	orange
AT1G07050		CCT motif family protein	0.84	3.5E-01	1.34	1.4E-02	orange
AT3G19500		basic helix-loop-helix (bHLH) DNA-binding superfamily protein	0.78	5.7E-02	1.33	4.5E-09	orange
AT3G25610		ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	0.08	9.6E-01	1.33	5.7E-06	orange
AT1G70140	FH8	formin 8	-0.05	9.8E-01	1.33	4.4E-04	orange
AT5G16410		HXXXD-type acyl-transferase family protein	0.10	9.8E-01	1.33	5.1E-06	orange
AT1G09070	SRC2	soybean gene regulated by cold-2	0.01	1.0E+00	1.33	3.0E-08	orange
AT5G38280	PR5K	PR5-like receptor kinase	-0.17	9.4E-01	1.33	3.7E-04	orange
AT2G45210		SAUR-like auxin-responsive protein family 	0.49	8.2E-01	1.32	2.6E-02	orange
AT3G52770	ZPR3	protein binding	0.70	1.8E-01	1.32	6.8E-05	orange
AT2G15080	RLP19	receptor like protein 19	0.22	6.2E-01	1.32	1.5E-12	orange
AT4G37190			0.28	2.3E-01	1.32	2.6E-17	orange
AT5G16370	AAE5	acyl activating enzyme 5	0.49	1.2E-02	1.31	5.2E-11	orange
AT4G19850		lectin-related	-0.19	9.3E-01	1.31	9.6E-05	orange
AT5G21940			-0.37	8.3E-01	1.31	4.5E-03	orange
AT3G15510	NAC2	NAC domain containing protein  2	0.12	9.2E-01	1.31	4.9E-10	orange
AT2G47670		Plant invertase/pectin methylesterase inhibitor superfamily protein	0.52	2.5E-01	1.31	1.6E-07	orange
AT2G29490	GSTU1	glutathione S-transferase TAU 1	0.36	6.2E-01	1.31	1.9E-03	orange
AT2G46940			0.54	3.1E-01	1.30	1.9E-05	orange
AT1G28190			0.45	3.9E-01	1.30	9.6E-04	orange
AT2G35290			0.17	9.4E-01	1.30	9.6E-03	orange
AT5G16690	ORC3	origin recognition complex subunit 3	0.42	2.0E-01	1.30	6.1E-06	orange
AT5G16360		NC domain-containing protein-related	0.47	5.2E-01	1.30	3.3E-03	orange
AT3G23120	RLP38	receptor like protein 38	0.91	4.1E-01	1.30	4.8E-02	orange
AT5G60440	AGL62	AGAMOUS-like 62	0.19	9.5E-01	1.30	6.3E-03	orange
