Gene.ID	Root.1.hr.log2FoldChange	padj	Bnapus_gene_name	Bnapus_gene_symbol	Bnapus_position	Bnapus_description	Athaliana_gene	Athaliana_gene_symbol	Athaliana_position	Athaliana_description	pident	evalue	bitscore	top2_bitscore_diff	GO_id	INTERPRO_id
GSBRNA2T00139659001	1.847065967	3.89e-06	CDX83886	BnaC08g17590D	supercontig:AST_PRJEB5043_v1:LK031834:981752:982339:-1	BnaC08g17590D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0004866	IPR002160;IPR011065
GSBRNA2T00139662001	2.246866881	0.008491743	CDX83889	BnaC08g17560D	supercontig:AST_PRJEB5043_v1:LK031834:996627:998830:1	BnaC08g17560D protein	AT1G17830	NA	chromosome:TAIR10:1:6135751:6138500:-1	At1g17830	85.471	0	1033	NA	NA	IPR008507
GSBRNA2T00139689001	3.068519519	0.001149879	CDX83913	BnaC08g17320D	supercontig:AST_PRJEB5043_v1:LK031834:1193581:1194502:-1	BnaC08g17320D protein	AT1G17290	ALAAT1	chromosome:TAIR10:1:5922332:5926400:1	Alanine aminotransferase 1, mitochondrial	86.17	9.01e-81	300	NA	GO:0003824;GO:0030170	IPR015422;IPR015424
GSBRNA2T00139690001	4.407297121	1.76e-32	CDX83914	BnaC08g17310D	supercontig:AST_PRJEB5043_v1:LK031834:1228579:1232006:-1	BnaC08g17310D protein	AT1G17290	ALAAT1	chromosome:TAIR10:1:5922332:5926400:1	Alanine aminotransferase 1, mitochondrial	87.599	0	1879	NA	GO:0003824;GO:0009058;GO:0030170	IPR004839;IPR015421;IPR015422;IPR015424
GSBRNA2T00139718001	-1.159758348	0.028680762	CDX83939	BnaC08g17060D	supercontig:AST_PRJEB5043_v1:LK031834:1333457:1335983:-1	BnaC08g17060D protein	AT1G16860	NA	chromosome:TAIR10:1:5767300:5770602:1	Uncharacterized membrane protein At1g16860	86.896	0	1578	NA	NA	NA
GSBRNA2T00139742001	3.455892108	7.39e-15	CDX83960	BnaC08g16850D	supercontig:AST_PRJEB5043_v1:LK031834:1443900:1446105:1	BnaC08g16850D protein	AT1G16030	HSP70-5	chromosome:TAIR10:1:5501966:5504535:-1	Hsp70b	84.418	0	1840	NA	NA	IPR013126;IPR018181
GSBRNA2T00139753001	0.91887168	0.041132738	CDX83970	BnaC08g16750D	supercontig:AST_PRJEB5043_v1:LK031834:1472919:1479339:1	BnaC08g16750D protein	AT1G15780	NA	chromosome:TAIR10:1:5430094:5436352:-1	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G10440.1); Has 103701 Blast hits to 43153 proteins in 1828 species: Archae - 30; Bacteria - 7385; Metazoa - 38639; Fungi - 11531; Plants - 7727; Viruses - 307; Oth /.../aryotes - 38082 (source: NCBI BLink).	87.153	0	1260	947	GO:0003712	IPR003101
GSBRNA2T00139755001	2.057300787	6.29e-13	CDX83972	BnaC08g16730D	supercontig:AST_PRJEB5043_v1:LK031834:1480907:1484740:-1	BnaC08g16730D protein	AT1G15690	AVP1	chromosome:TAIR10:1:5398990:5402733:1	Pyrophosphate-energized vacuolar membrane proton pump 1	88.951	0	2850	NA	GO:0004427;GO:0009678;GO:0015992;GO:0016020	IPR004131
GSBRNA2T00139757001	-1.06607058	0.001777529	CDX83974	BnaC08g16710D	supercontig:AST_PRJEB5043_v1:LK031834:1506893:1509248:-1	ADP,ATP carrier protein	AT1G15500	AATP2	chromosome:TAIR10:1:5326290:5328875:1	ADP,ATP carrier protein	87.05	0	2069	512	GO:0005471;GO:0005524;GO:0006810;GO:0016021	IPR004667
GSBRNA2T00139804001	2.656037774	1.46e-05	CDX83999	BnaC08g16460D	supercontig:AST_PRJEB5043_v1:LK031834:1658686:1659481:-1	BnaC08g16460D protein	AT1G14890	NA	chromosome:TAIR10:1:5136874:5137982:1	Plant invertase/pectin methylesterase inhibitor domain-containing protein	86.942	0	680	539	GO:0004857;GO:0030599	IPR006501
GSBRNA2T00139822001	-2.938616542	6.97e-07	CDX84012	BnaC08g16330D	supercontig:AST_PRJEB5043_v1:LK031834:1720944:1723587:-1	Purple acid phosphatase	AT1G14700	PAP3	chromosome:TAIR10:1:5058583:5061140:1	Purple acid phosphatase 3	86.296	0	1090	NA	GO:0016787	IPR004843
GSBRNA2T00139865001	1.960221307	0.003361232	CDX84043	BnaC08g16020D	supercontig:AST_PRJEB5043_v1:LK031834:1888310:1891136:1	BnaC08g16020D protein	AT1G14130	NA	chromosome:TAIR10:1:4835724:4837771:-1	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase-like protein	86.981	0	1000	NA	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00139915001	1.343415241	0.002979396	CDX84053	BnaC08g07300D	supercontig:AST_PRJEB5043_v1:LK031835:395609:398193:1	BnaC08g07300D protein	AT1G33050	NA	chromosome:TAIR10:1:11967816:11971532:-1	Putative uncharacterized protein At1g33050	85.269	1.92e-162	573	NA	NA	NA
GSBRNA2T00139917001	2.456385302	0.000967313	CDX84055	BnaC08g07320D	supercontig:AST_PRJEB5043_v1:LK031835:399470:400872:1	BnaC08g07320D protein	AT1G33030	NA	chromosome:TAIR10:1:11964776:11966320:-1	At1g33030	85.701	0	1110	NA	GO:0008168;GO:0008171;GO:0046983	IPR001077;IPR011991;IPR012967;IPR016461
GSBRNA2T00139954001	-2.048022104	0.02107134	CDX84067	BnaC08g07440D	supercontig:AST_PRJEB5043_v1:LK031835:575317:576346:-1	BnaC08g07440D protein	AT1G32470	GDH3	chromosome:TAIR10:1:11739304:11740399:-1	Glycine cleavage system H protein 3, mitochondrial	92.216	0	710	NA	GO:0005960;GO:0006546;GO:0019464	IPR002930;IPR011053;IPR017453
GSBRNA2T00140043001	2.262633535	0.021835492	CDX84092	BnaC08g07690D	supercontig:AST_PRJEB5043_v1:LK031835:1184105:1184532:1	BnaC08g07690D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140086001	-3.336950434	0.003695035	CDX84108	BnaC08g07850D	supercontig:AST_PRJEB5043_v1:LK031835:1500497:1502644:-1	Phosphoribulokinase	AT1G32060	PRK	chromosome:TAIR10:1:11532199:11534639:1	Phosphoribulokinase	89.064	0	1480	NA	GO:0005524;GO:0005975;GO:0008152;GO:0008974;GO:0016301	IPR006082;IPR006083
GSBRNA2T00140204001	2.253638803	2.79e-09	CDX70399	BnaC03g04830D	supercontig:AST_PRJEB5043_v1:LK031791:252433:255388:-1	Aspartate aminotransferase	AT5G11520	ASP3	chromosome:TAIR10:5:3684946:3687854:-1	Aspartate aminotransferase	91.103	0	1781	NA	GO:0003824;GO:0006520;GO:0008483;GO:0009058;GO:0030170	IPR000796;IPR004838;IPR004839;IPR015421;IPR015424
GSBRNA2T00140233001	2.020259804	0.001975214	CDX70424	BnaC03g05080D	supercontig:AST_PRJEB5043_v1:LK031791:360289:362602:-1	BnaC03g05080D protein	AT5G11840	NA	chromosome:TAIR10:5:3813312:3814831:-1	At5g11840	85.567	0	804	NA	NA	IPR009631
GSBRNA2T00140244001	4.731152368	0.002059034	CDX70433	BnaC03g05170D	supercontig:AST_PRJEB5043_v1:LK031791:388627:390956:1	BnaC03g05170D protein	AT5G11920	CWINV6	chromosome:TAIR10:5:3839316:3842409:1	Beta-fructofuranosidase, insoluble isoenzyme CWINV6	81.429	0	1290	NA	GO:0005975	IPR001362;IPR008985;IPR013148;IPR013189;IPR023296
GSBRNA2T00140245001	4.567909241	0.000801063	CDX70434	BnaC03g05180D	supercontig:AST_PRJEB5043_v1:LK031791:392844:393266:-1	BnaC03g05180D protein	AT5G11930	GRXC10	chromosome:TAIR10:5:3844940:3845711:-1	Glutaredoxin-C10	89.227	7.18e-127	453	NA	GO:0009055;GO:0015035;GO:0045454	IPR002109;IPR011905;IPR012336
GSBRNA2T00140254001	6.83241777	5.61e-09	CDX70440	BnaC03g05240D	supercontig:AST_PRJEB5043_v1:LK031791:426845:427309:-1	BnaC03g05240D protein	AT5G12020	HSP17.6	chromosome:TAIR10:5:3882231:3883111:-1	17.6 kDa class II heat shock protein	88.553	1.64e-158	558	NA	NA	IPR002068;IPR008978
GSBRNA2T00140320001	8.352028392	4.83e-09	CDX70492	BnaC03g05760D	supercontig:AST_PRJEB5043_v1:LK031791:679312:680489:-1	BnaC03g05760D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0003700;GO:0043565	IPR003657
GSBRNA2T00140327001	3.069109748	6.89e-09	CDX70498	BnaC03g05820D	supercontig:AST_PRJEB5043_v1:LK031791:751718:753954:1	BnaC03g05820D protein	AT5G13330	ERF113	chromosome:TAIR10:5:4271730:4274674:1	Rap2.6L	82.243	2.21e-144	512	NA	GO:0003677;GO:0003700	IPR001471;IPR016177
GSBRNA2T00140328001	2.698499892	8.68e-08	CDX70499	BnaC03g05830D	supercontig:AST_PRJEB5043_v1:LK031791:759343:763879:1	BnaC03g05830D protein	AT5G13360	NA	chromosome:TAIR10:5:4283466:4286295:1	Auxin-responsive GH3 family protein	83.209	0	1332	4	NA	IPR004993
GSBRNA2T00140329001	2.52203982	0.001487923	CDX70500	BnaC03g05840D	supercontig:AST_PRJEB5043_v1:LK031791:763932:764357:1	BnaC03g05840D protein	AT5G13380	NA	chromosome:TAIR10:5:4289839:4292441:1	Auxin-responsive GH3 family protein	83.895	1.34e-67	255	22	NA	IPR004993
GSBRNA2T00140330001	4.212973453	2.15e-09	CDX70501	BnaC03g05850D	supercontig:AST_PRJEB5043_v1:LK031791:764814:767067:-1	BnaC03g05850D protein	AT5G13420	NA	chromosome:TAIR10:5:4301792:4304315:-1	Aldolase-type TIM barrel family protein	88.367	0	1504	NA	GO:0003824;GO:0004801;GO:0005737;GO:0005975;GO:0006098	IPR001585;IPR004732;IPR013785;IPR018225
GSBRNA2T00140343001	-2.251792361	2.58e-05	CDX70514	BnaC03g05980D	supercontig:AST_PRJEB5043_v1:LK031791:811371:816852:-1	BnaC03g05980D protein	AT5G13630	CHLH	chromosome:TAIR10:5:4387334:4392227:-1	Magnesium-chelatase subunit ChlH, chloroplastic	86.479	0	4542	NA	GO:0009058;GO:0015995;GO:0016851	IPR003672;IPR011771;IPR022571
GSBRNA2T00140346001	2.340306265	1.22e-05	CDX70516	BnaC03g06000D	supercontig:AST_PRJEB5043_v1:LK031791:829857:833152:-1	BnaC03g06000D protein	AT5G13700	PAO1	chromosome:TAIR10:5:4420069:4423095:-1	Polyamine oxidase 1	87.958	0	1670	NA	GO:0000166;GO:0016491;GO:0055114	IPR001613;IPR002937;IPR016040
GSBRNA2T00140348001	3.986781609	3.5e-13	CDX70517	BnaC03g06010D	supercontig:AST_PRJEB5043_v1:LK031791:841186:844786:1	BnaC03g06010D protein	AT5G13740	ZIF1	chromosome:TAIR10:5:4432306:4437148:1	Protein ZINC INDUCED FACILITATOR 1	87.44	0	1657	NA	GO:0005215;GO:0005886;GO:0016021;GO:0055085	IPR001958;IPR011701;IPR016196;IPR020846
GSBRNA2T00140355001	-6.476770228	0.000311004	CDX70524	BnaC03g06080D	supercontig:AST_PRJEB5043_v1:LK031791:869643:870977:-1	Xyloglucan endotransglucosylase/hydrolase	AT5G13870	XTH5	chromosome:TAIR10:5:4474922:4477090:-1	Xyloglucan endotransglucosylase/hydrolase	89.342	0	1109	NA	GO:0005618;GO:0005975;GO:0006073;GO:0016762;GO:0048046	IPR000757;IPR008263;IPR008985;IPR010713;IPR013320;IPR016455
GSBRNA2T00140361001	-1.562528908	0.019062074	CDX70530	BnaC03g06140D	supercontig:AST_PRJEB5043_v1:LK031791:887903:892822:1	BnaC03g06140D protein	AT5G13960	SUVH4	chromosome:TAIR10:5:4501362:4506207:1	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH4	87.594	0	924	NA	GO:0005515;GO:0005634;GO:0008270;GO:0016571;GO:0018024;GO:0034968;GO:0042393	IPR001214;IPR003105;IPR003606;IPR003616;IPR007728;IPR025794
GSBRNA2T00140362001	-1.102765448	0.047873246	CDX70531	BnaC03g06150D	supercontig:AST_PRJEB5043_v1:LK031791:893208:899029:1	Alpha-mannosidase	AT5G13980	NA	chromosome:TAIR10:5:4508476:4514666:1	Probable alpha-mannosidase At5g13980	89.704	0	3904	NA	GO:0003824;GO:0004559;GO:0005975;GO:0006013;GO:0008270;GO:0015923;GO:0030246	IPR000602;IPR011013;IPR011330;IPR011682;IPR013780;IPR015341;IPR027291
GSBRNA2T00140369001	-1.06435856	0.017101119	CDX70537	BnaC03g06210D	supercontig:AST_PRJEB5043_v1:LK031791:920557:922655:-1	BnaC03g06210D protein	AT5G14040	MPT3	chromosome:TAIR10:5:4530643:4533119:-1	Mitochondrial phosphate carrier protein 3, mitochondrial	87.927	0	1330	NA	NA	IPR018108;IPR023395
GSBRNA2T00140371001	-0.891126694	0.021925328	CDX70538	BnaC03g06220D	supercontig:AST_PRJEB5043_v1:LK031791:927938:931452:1	Aspartokinase	AT5G14060	AK2	chromosome:TAIR10:5:4535401:4539193:1	Aspartokinase	90.178	0	2115	685	GO:0004072;GO:0008152;GO:0008652;GO:0016597	IPR001048;IPR001341;IPR002912;IPR018042
GSBRNA2T00140384001	-1.757781389	0.004440356	CDX70547	BnaC03g06310D	supercontig:AST_PRJEB5043_v1:LK031791:970971:974072:-1	BnaC03g06310D protein	AT5G14210	NA	chromosome:TAIR10:5:4578378:4582856:-1	Leucine-rich repeat protein kinase family protein	86.98	0	1688	NA	GO:0004672;GO:0004713;GO:0005524;GO:0006468	IPR000719;IPR002290;IPR003591;IPR011009;IPR013320;IPR020635
GSBRNA2T00140395001	-2.481984587	9.4e-05	CDX70556	BnaC03g06400D	supercontig:AST_PRJEB5043_v1:LK031791:1005626:1006159:-1	BnaC03g06400D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140406001	-1.264636006	0.008102373	CDX70565	BnaC03g06490D	supercontig:AST_PRJEB5043_v1:LK031791:1035751:1039275:1	BnaC03g06490D protein	AT5G14430	NA	chromosome:TAIR10:5:4652980:4655973:1	Probable methyltransferase PMT9	90.201	0	2374	NA	GO:0008168	IPR004159
GSBRNA2T00140435001	2.369825751	8.54e-05	CDX70591	BnaC03g06750D	supercontig:AST_PRJEB5043_v1:LK031791:1142254:1144584:1	BnaC03g06750D protein	AT5G15120	PCO1	chromosome:TAIR10:5:4898641:4900734:1	Plant cysteine oxidase 1	85.586	0	917	NA	GO:0047800;GO:0055114	IPR011051;IPR012864;IPR014710
GSBRNA2T00140443001	-1.121069395	0.001748131	CDX70599	BnaC03g06830D	supercontig:AST_PRJEB5043_v1:LK031791:1181747:1183303:-1	BnaA02g02540D protein	AT5G15200	RPS9B	chromosome:TAIR10:5:4934810:4936429:-1	40S ribosomal protein S9-1	88.963	0	734	NA	GO:0003723;GO:0003735;GO:0005622;GO:0006412;GO:0015935;GO:0019843	IPR001912;IPR002942;IPR005710;IPR018079;IPR022801
GSBRNA2T00140445001	-1.386040592	0.029135794	CDX70601	BnaC03g06850D	supercontig:AST_PRJEB5043_v1:LK031791:1188052:1189268:1	BnaC03g06850D protein	AT5G15230	GASA4	chromosome:TAIR10:5:4945062:4946216:1	Gibberellin-regulated protein 4	89.655	4.24e-113	407	NA	NA	IPR003854
GSBRNA2T00140447001	5.97663023	0.001435722	CDX70603	BnaC03g06870D	supercontig:AST_PRJEB5043_v1:LK031791:1192914:1193474:1	BnaA03g05340D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140452001	-2.235819385	6.88e-06	CDX70608	BnaC03g06920D	supercontig:AST_PRJEB5043_v1:LK031791:1211926:1213228:-1	BnaC03g06920D protein	AT5G15350	ENODL17	chromosome:TAIR10:5:4984919:4986377:-1	Lamin-like protein	85	8.56e-147	520	NA	GO:0005507;GO:0009055	IPR003245;IPR008972
GSBRNA2T00140460001	-1.486819322	0.018235827	CDX70616	BnaC03g07000D	supercontig:AST_PRJEB5043_v1:LK031791:1244733:1246562:1	BnaC03g07000D protein	AT5G15530	BCCP2	chromosome:TAIR10:5:5038563:5040840:1	CAC1-B	84.942	0	773	NA	GO:0003989;GO:0006633;GO:0009317	IPR000089;IPR001249;IPR001882;IPR011053
GSBRNA2T00140478001	-1.10968015	0.030105739	CDX70629	BnaC03g07130D	supercontig:AST_PRJEB5043_v1:LK031791:1311344:1313488:1	BnaC03g07130D protein	AT5G15650	RGP2	chromosome:TAIR10:5:5092140:5095302:1	RGP2	91.493	0	793	100	GO:0016866;GO:0030244	IPR004901
GSBRNA2T00140488001	-3.345888307	2.87e-05	CDX70637	BnaC03g07210D	supercontig:AST_PRJEB5043_v1:LK031791:1341505:1344242:-1	BnaC03g07210D protein	AT5G15740	NA	chromosome:TAIR10:5:5134507:5137707:-1	At5g15740	90.15	0	1989	572	NA	IPR019378
GSBRNA2T00140531001	1.473590862	0.001199856	CDX70673	BnaC03g07570D	supercontig:AST_PRJEB5043_v1:LK031791:1480531:1481928:-1	BnaC03g07570D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140532001	-0.920555342	0.032358941	CDX70674	BnaC03g07580D	supercontig:AST_PRJEB5043_v1:LK031791:1484110:1485666:1	BnaC03g07580D protein	AT5G16130	RPS7C	chromosome:TAIR10:5:5268421:5270199:1	40S ribosomal protein S7-3	91.972	0	804	301	GO:0003735;GO:0005622;GO:0005840;GO:0006412	IPR000554
GSBRNA2T00140544001	-1.959934715	0.0231666	CDX70681	BnaC03g07650D	supercontig:AST_PRJEB5043_v1:LK031791:1521448:1522206:-1	BnaC03g07650D protein	AT5G16250	NA	chromosome:TAIR10:5:5310052:5310951:-1	Putative uncharacterized protein At5g16250	83.636	1.53e-144	512	NA	NA	NA
GSBRNA2T00140554001	-1.705966583	0.003736889	CDX70691	BnaC03g07750D	supercontig:AST_PRJEB5043_v1:LK031791:1569862:1572224:-1	BnaC03g07750D protein	AT5G16390	BCCP1	chromosome:TAIR10:5:5360789:5363297:-1	Biotin carboxyl carrier protein of acetyl-CoA carboxylase 1, chloroplastic	82.225	0	693	NA	GO:0003989;GO:0006633;GO:0009317	IPR000089;IPR001249;IPR001882;IPR011053
GSBRNA2T00140622001	2.502050948	0.002001445	CDX70747	BnaC03g08310D	supercontig:AST_PRJEB5043_v1:LK031791:1845788:1847482:-1	BnaC03g08310D protein	AT5G17300	RVE1	chromosome:TAIR10:5:5690225:5692920:-1	Protein REVEILLE 1	86.131	0	717	NA	GO:0003677;GO:0003682	IPR001005;IPR006447;IPR009057;IPR017930
GSBRNA2T00140639001	-1.969454802	0.000519693	CDX70762	BnaC03g08460D	supercontig:AST_PRJEB5043_v1:LK031791:1909485:1914367:-1	Cellulose synthase	AT5G17420	CESA7	chromosome:TAIR10:5:5736630:5741500:-1	Cellulose synthase	92.512	0	3068	3007.8	GO:0016020;GO:0016760;GO:0030244	IPR005150;IPR013083
GSBRNA2T00140651001	2.423166174	1.14e-06	CDX70771	BnaC03g08550D	supercontig:AST_PRJEB5043_v1:LK031791:1963558:1965187:-1	BnaC03g08550D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140657001	-2.196303953	0.000138538	CDX70777	BnaC03g08610D	supercontig:AST_PRJEB5043_v1:LK031791:1987832:1990066:-1	Peroxidase	AT5G17820	NA	chromosome:TAIR10:5:5887871:5890218:-1	Peroxidase superfamily protein	85.437	0	965	NA	GO:0004601;GO:0006979;GO:0020037;GO:0055114	IPR000823;IPR002016;IPR010255;IPR019793;IPR019794
GSBRNA2T00140688001	-1.350137556	0.009978585	CDX70805	BnaC03g08890D	supercontig:AST_PRJEB5043_v1:LK031791:2120365:2129062:-1	BnaC03g08890D protein	AT5G18280	APY2	chromosome:TAIR10:5:6050514:6054386:-1	Apyrase 2	91.803	0	1530	438	GO:0000151;GO:0004842;GO:0005488;GO:0016567;GO:0016787	IPR000407;IPR003613;IPR011989;IPR013083;IPR016024
GSBRNA2T00140729001	1.802781422	8.24e-07	CDX70836	BnaC03g09200D	supercontig:AST_PRJEB5043_v1:LK031791:2307683:2310225:1	Beta-amylase	AT5G18670	BAM9	chromosome:TAIR10:5:6225956:6228195:1	Inactive beta-amylase 9	85.387	0	1650	NA	GO:0000272;GO:0003824;GO:0005975;GO:0016161	IPR001554;IPR013781;IPR017853
GSBRNA2T00140779001	-2.546147356	0.00097204	CDX70881	BnaC03g09650D	supercontig:AST_PRJEB5043_v1:LK031791:2555205:2558218:1	BnaC03g09650D protein	AT5G19520	MSL9	chromosome:TAIR10:5:6585355:6588966:1	Mechanosensitive ion channel protein 9	82.013	0	1873	NA	GO:0016020;GO:0055085	IPR006685;IPR010920;IPR016688
GSBRNA2T00140781001	3.070286414	0.000306944	CDX70883	BnaC03g09670D	supercontig:AST_PRJEB5043_v1:LK031791:2564038:2570374:-1	BnaC03g09670D protein	AT5G19600	SULTR3;5	chromosome:TAIR10:5:6612815:6617047:-1	Probable sulfate transporter 3.5	88.105	0	2255	NA	GO:0008271;GO:0008272;GO:0015116;GO:0016020;GO:0016021;GO:0055085	IPR001902;IPR002645;IPR011547;IPR018045
GSBRNA2T00140791001	-1.325127247	0.000259617	CDX70890	BnaC03g09740D	supercontig:AST_PRJEB5043_v1:LK031791:2600291:2602760:1	Tubulin alpha chain	AT5G19780	TUBA3	chromosome:TAIR10:5:6687030:6689171:1	Tubulin alpha chain	90.761	0	1807	28	GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0006184;GO:0007017;GO:0043234;GO:0051258	IPR000217;IPR002452;IPR003008;IPR008280;IPR013838;IPR017975;IPR018316;IPR023123
GSBRNA2T00140798001	3.130228279	0.000138538	CDX70896	BnaC03g09800D	supercontig:AST_PRJEB5043_v1:LK031791:2621778:2623470:-1	BnaC03g09800D protein	AT5G19855	RBCX2	chromosome:TAIR10:5:6711943:6713680:-1	RbcX2	85.528	1.65e-179	628	NA	NA	IPR003435
GSBRNA2T00140803001	-1.676623855	0.02938486	CDX70899	BnaC03g09830D	supercontig:AST_PRJEB5043_v1:LK031791:2629583:2630879:1	BnaC03g09830D protein	AT5G19940	PAP8	chromosome:TAIR10:5:6739624:6740957:1	Probable plastid-lipid-associated protein 8, chloroplastic	85.655	0	749	NA	GO:0005198;GO:0009507	IPR006843
GSBRNA2T00140810001	0.984428849	0.008432281	CDX70903	BnaC03g09870D	supercontig:AST_PRJEB5043_v1:LK031791:2649147:2651843:1	26S protease regulatory subunit 8 homolog B	AT5G19990	RPT6A	chromosome:TAIR10:5:6751944:6755260:1	RPT6A	91.27	0	1709	28	GO:0000166;GO:0005524;GO:0005737;GO:0016787;GO:0017111;GO:0030163	IPR003593;IPR003959;IPR003960;IPR005937
GSBRNA2T00140819001	-1.130301755	0.015076656	CDX70911	BnaC03g09950D	supercontig:AST_PRJEB5043_v1:LK031791:2674174:2677807:1	NADH-cytochrome b5 reductase-like protein	AT5G20080	CBR2	chromosome:TAIR10:5:6782511:6786847:1	NADH-cytochrome b5 reductase-like protein	91.02	0	1323	NA	GO:0016491;GO:0055114	IPR001433;IPR001709;IPR001834;IPR008333;IPR017927;IPR017938
GSBRNA2T00140859001	1.766338578	1.2e-05	CDX70945	BnaC03g10290D	supercontig:AST_PRJEB5043_v1:LK031791:2875262:2879691:-1	Sucrose synthase	AT5G20830	SUS1	chromosome:TAIR10:5:7050217:7054713:-1	Sucrose synthase 1	90.062	0	3114	848	GO:0005985;GO:0009058;GO:0016157	IPR000368;IPR001296;IPR012820
GSBRNA2T00140869001	1.432417485	0.012437326	CDX70951	BnaC03g10350D	supercontig:AST_PRJEB5043_v1:LK031791:2914547:2916516:-1	BnaC03g10350D protein	AT5G20910	AIP2	chromosome:TAIR10:5:7092512:7094503:-1	E3 ubiquitin-protein ligase AIP2	88.139	0	1090	NA	GO:0005515;GO:0008270	IPR001841;IPR013083
GSBRNA2T00140887001	3.113928102	0.030053589	CDX70967	BnaC03g10510D	supercontig:AST_PRJEB5043_v1:LK031791:2958687:2960843:1	BnaC03g10510D protein	AT5G21900	NA	chromosome:TAIR10:5:7238174:7240535:1	At5g21900	77.199	0	689	NA	NA	IPR006553
GSBRNA2T00140890001	3.192068653	0.001927446	CDX70969	BnaC03g10530D	supercontig:AST_PRJEB5043_v1:LK031791:2967051:2968914:-1	BnaC03g10530D protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSBRNA2T00140958001	-1.343859184	0.020109294	CDX71019	BnaC03g11030D	supercontig:AST_PRJEB5043_v1:LK031791:3273832:3274466:-1	Histone H2B	AT1G07790	HTB1	chromosome:TAIR10:1:2412938:2413790:1	Histone H2B.1	84.887	1.29e-84	313	10	GO:0000786;GO:0003677;GO:0005634;GO:0006334;GO:0046982	IPR000558;IPR007125;IPR009072
GSBRNA2T00140961001	2.370266714	0.00075779	CDX71021	BnaC03g11050D	supercontig:AST_PRJEB5043_v1:LK031791:3285803:3287952:1	BnaC03g11050D protein	AT5G22920	NA	chromosome:TAIR10:5:7664871:7667288:1	AT5g22920/MRN17_15	89.078	0	1088	NA	GO:0005515;GO:0008270	IPR001841;IPR004039;IPR008913;IPR013083;IPR017921
GSBRNA2T00140975001	-5.242364156	3.61e-13	CDX71032	BnaC03g11160D	supercontig:AST_PRJEB5043_v1:LK031791:3364069:3365728:1	BnaC03g11160D protein	AT5G60660	PIP2-4	chromosome:TAIR10:5:24375368:24377206:-1	PIP2F	91.204	0	881	NA	GO:0005215;GO:0006810;GO:0016020	IPR000425;IPR022357;IPR023271
GSBRNA2T00140978001	-5.533036698	1.84e-11	CDX71035	BnaC03g11190D	supercontig:AST_PRJEB5043_v1:LK031791:3378524:3384407:-1	BnaC03g11190D protein	NA	NA	NA	NA	NA	NA	NA	NA	GO:0006508;GO:0008234	IPR000668;IPR013128;IPR013201;IPR025661
GSBRNA2T00141024001	4.202058617	6.48e-07	CDX71073	BnaC03g11570D	supercontig:AST_PRJEB5043_v1:LK031791:3543063:3543539:-1	BnaC03g11570D protein	AT5G59820	ZAT12	chromosome:TAIR10:5:24102814:24103794:1	Zinc finger protein ZAT12	85.01	1.35e-134	479	NA	GO:0005622;GO:0008270	IPR007087;IPR015880
GSBRNA2T00141026001	-1.320256437	0.006897547	CDX71075	BnaC03g11590D	supercontig:AST_PRJEB5043_v1:LK031791:3557095:3558027:1	BnaC03g11590D protein	AT5G59780	MYB59	chromosome:TAIR10:5:24081868:24083528:-1	Transcription factor MYB59	91.449	0	944	NA	GO:0003677;GO:0003682	IPR001005;IPR009057;IPR017930
GSBRNA2T00141053001	1.959608675	0.000551724	CDX71098	BnaC03g11820D	supercontig:AST_PRJEB5043_v1:LK031791:3647419:3651616:1	BnaC03g11820D protein	AT5G59590	UGT76E2	chromosome:TAIR10:5:24008865:24010688:-1	Glycosyltransferase	83.104	0	717	417	GO:0005515;GO:0008152;GO:0008270	IPR001841;IPR002213;IPR010543;IPR013083
GSBRNA2T00141057001	4.834391569	7.53e-07	CDX71101	BnaC03g11850D	supercontig:AST_PRJEB5043_v1:LK031791:3658122:3659785:1	BnaC03g11850D protein	AT5G59540	NA	chromosome:TAIR10:5:23995850:23997821:-1	1-aminocyclopropane-1-carboxylate oxidase homolog 12	85.935	0	1171	25	GO:0016491;GO:0055114	IPR005123;IPR026992
GSBRNA2T00141061001	2.996550219	0.006171361	CDX71103	BnaC03g11870D	supercontig:AST_PRJEB5043_v1:LK031791:3668712:3670599:1	BnaC03g11870D protein	AT5G59540	NA	chromosome:TAIR10:5:23995850:23997821:-1	1-aminocyclopropane-1-carboxylate oxidase homolog 12	86.044	0	1157	34	GO:0016491;GO:0055114	IPR005123;IPR026992
